wavelength_nm,T,R,sigma_T,sigma_R,substrate_n
401.25,0.026663278944349944,0.36555725557286334,0.0015,0.0015,1.5
405.0,0.031828051487340595,0.36029409262617457,0.0015,0.0015,1.5
408.75,0.03907187905827265,0.35629222803577365,0.0015,0.0015,1.5
412.5,0.04014730367129976,0.3489638034107599,0.0015,0.0015,1.5
416.25,0.045647178215592034,0.34216212043198163,0.0015,0.0015,1.5
420.0,0.05175974400455476,0.33748437842644785,0.0015,0.0015,1.5
423.75,0.05907487548199071,0.3310484507553865,0.0015,0.0015,1.5
427.5,0.06135740511597725,0.325540667252896,0.0015,0.0015,1.5
431.25,0.07165577855428801,0.32299564524259505,0.0015,0.0015,1.5
435.0,0.07488081605188299,0.3118096159965288,0.0015,0.0015,1.5
438.75,0.08707385076537331,0.30559833027758715,0.0015,0.0015,1.5
442.5,0.09412557953800339,0.3018886065501545,0.0015,0.0015,1.5
446.25,0.10192743204226223,0.2963100912895084,0.0015,0.0015,1.5
450.0,0.10980926872694857,0.2880030318300622,0.0015,0.0015,1.5
453.75,0.1223011567896935,0.28308271561132703,0.0015,0.0015,1.5
457.5,0.13138824537908472,0.2770207667207748,0.0015,0.0015,1.5
461.25,0.14239909223879477,0.27522500400681765,0.0015,0.0015,1.5
465.0,0.1493736712734681,0.26980788803241484,0.0015,0.0015,1.5
468.75,0.162497542795382,0.267100387328094,0.0015,0.0015,1.5
472.5,0.17436610062062954,0.2627528094411713,0.0015,0.0015,1.5
476.25,0.18633786225141133,0.26278657056641397,0.0015,0.0015,1.5
480.0,0.19463901999204908,0.2613309054201786,0.0015,0.0015,1.5
483.75,0.20638007252172574,0.2619628493937313,0.0015,0.0015,1.5
487.5,0.22124324103875248,0.2629649804367516,0.0015,0.0015,1.5
491.25,0.23139602939951595,0.26151502972553203,0.0015,0.0015,1.5
495.0,0.24366979325456548,0.2653000961101977,0.0015,0.0015,1.5
498.75,0.2527038731077799,0.27389296028996163,0.0015,0.0015,1.5
502.5,0.2652962024761134,0.27561966606050725,0.0015,0.0015,1.5
506.25,0.2741240591307329,0.2820915830606778,0.0015,0.0015,1.5
510.0,0.28360473312441375,0.2870292168639967,0.0015,0.0015,1.5
513.75,0.2930837125084799,0.29345115258331883,0.0015,0.0015,1.5
517.5,0.30432155421405754,0.30185851942959,0.0015,0.0015,1.5
521.25,0.3097724530823419,0.308095233149232,0.0015,0.0015,1.5
525.0,0.317499311936022,0.31672540243046904,0.0015,0.0015,1.5
528.75,0.32630992474228193,0.32578303444729156,0.0015,0.0015,1.5
532.5,0.3349926589212095,0.33198686478956846,0.0015,0.0015,1.5
536.25,0.3419501493082599,0.3436098834860721,0.0015,0.0015,1.5
540.0,0.3479586724672248,0.34957726656996085,0.0015,0.0015,1.5
543.75,0.3538898518752761,0.35657583469474696,0.0015,0.0015,1.5
547.5,0.3567405471063186,0.36625711152769713,0.0015,0.0015,1.5
551.25,0.36157483185688816,0.3764360307664631,0.0015,0.0015,1.5
555.0,0.3689610978463741,0.3878294519022765,0.0015,0.0015,1.5
558.75,0.37041194313699294,0.39256127705902333,0.0015,0.0015,1.5
562.5,0.3747942268813815,0.40084207939768746,0.0015,0.0015,1.5
566.25,0.37636267139349716,0.4076452047023554,0.0015,0.0015,1.5
570.0,0.3816617554262766,0.4171810247755718,0.0015,0.0015,1.5
573.75,0.382065505001746,0.4243091158408207,0.0015,0.0015,1.5
577.5,0.38602608054894716,0.4312555603724523,0.0015,0.0015,1.5
581.25,0.3889560064581359,0.4370892995258934,0.0015,0.0015,1.5
585.0,0.3914924438942854,0.4406778019105566,0.0015,0.0015,1.5
588.75,0.3950742086797031,0.4486020025288949,0.0015,0.0015,1.5
592.5,0.39758799865239053,0.452757631404249,0.0015,0.0015,1.5
596.25,0.39995063179082585,0.4593441461828388,0.0015,0.0015,1.5
600.0,0.40073637878533364,0.46326316315424954,0.0015,0.0015,1.5
603.75,0.4017631817436949,0.4677821160935938,0.0015,0.0015,1.5
607.5,0.4045402467732697,0.4735841846418194,0.0015,0.0015,1.5
611.25,0.4059484450108655,0.47673477611268517,0.0015,0.0015,1.5
615.0,0.407263767529517,0.4817013905900101,0.0015,0.0015,1.5
618.75,0.4129311243317595,0.48545616957038074,0.0015,0.0015,1.5
622.5,0.4105249880673611,0.48612977414655834,0.0015,0.0015,1.5
626.25,0.41529538298521,0.49190172553309497,0.0015,0.0015,1.5
630.0,0.4153785723836833,0.49766332440814043,0.0015,0.0015,1.5
633.75,0.41530502132345426,0.4977424858200789,0.0015,0.0015,1.5
637.5,0.42296429733867763,0.49768632615413255,0.0015,0.0015,1.5
641.25,0.421185358717734,0.5025387147722041,0.0015,0.0015,1.5
645.0,0.4220366154838154,0.5046605052186823,0.0015,0.0015,1.5
648.75,0.42915705730844234,0.5046026009445846,0.0015,0.0015,1.5
652.5,0.42716758681147443,0.5049236920247506,0.0015,0.0015,1.5
656.25,0.42978678444769264,0.5061016923760088,0.0015,0.0015,1.5
660.0,0.4340006604628819,0.5084788844204732,0.0015,0.0015,1.5
663.75,0.43212929605686706,0.5089953142293384,0.0015,0.0015,1.5
667.5,0.43420279226567976,0.5099234458291129,0.0015,0.0015,1.5
671.25,0.43883339940060506,0.511721190204448,0.0015,0.0015,1.5
675.0,0.4404919666313286,0.5135240387392346,0.0015,0.0015,1.5
678.75,0.44066333693974974,0.5124645770343278,0.0015,0.0015,1.5
682.5,0.44180046535177897,0.511585028397717,0.0015,0.0015,1.5
686.25,0.4441142670801044,0.5130390909777243,0.0015,0.0015,1.5
690.0,0.44918203428408454,0.5109316254445837,0.0015,0.0015,1.5
693.75,0.452542080124828,0.5106283304792,0.0015,0.0015,1.5
697.5,0.454645486644456,0.5127122213837861,0.0015,0.0015,1.5
701.25,0.45568141692669567,0.5124504688676158,0.0015,0.0015,1.5
705.0,0.45784663777201856,0.5125330930305096,0.0015,0.0015,1.5
708.75,0.4560802325476782,0.5097258716751224,0.0015,0.0015,1.5
712.5,0.46165282695180054,0.5114029763630527,0.0015,0.0015,1.5
716.25,0.46314153535356434,0.5080485729159602,0.0015,0.0015,1.5
720.0,0.46826825546927464,0.5095702336557353,0.0015,0.0015,1.5
723.75,0.46810755463777914,0.5063105804488901,0.0015,0.0015,1.5
727.5,0.470870909187498,0.5081061214433772,0.0015,0.0015,1.5
731.25,0.473192771938725,0.5070012191832759,0.0015,0.0015,1.5
735.0,0.4758264613424893,0.5048565476633402,0.0015,0.0015,1.5
738.75,0.47822829633895203,0.5056088806293939,0.0015,0.0015,1.5
742.5,0.4828824605691365,0.504768593519835,0.0015,0.0015,1.5
746.25,0.4840494120698665,0.5038888807901879,0.0015,0.0015,1.5
750.0,0.4845947783388228,0.5016985484635613,0.0015,0.0015,1.5
753.75,0.48494961515457297,0.5009199001926479,0.0015,0.0015,1.5
757.5,0.4908545518676282,0.4962309706667171,0.0015,0.0015,1.5
761.25,0.49162715760069886,0.4988924008130205,0.0015,0.0015,1.5
765.0,0.4925040874073198,0.49569900718013205,0.0015,0.0015,1.5
768.75,0.49357546797392154,0.49216140838491773,0.0015,0.0015,1.5
772.5,0.4948988238123264,0.49218000609789825,0.0015,0.0015,1.5
776.25,0.500019268731352,0.48932257746319885,0.0015,0.0015,1.5
780.0,0.502054604579821,0.48972121053490053,0.0015,0.0015,1.5
783.75,0.502462685441628,0.4879729328043764,0.0015,0.0015,1.5
787.5,0.5043356478181176,0.48608786297979056,0.0015,0.0015,1.5
791.25,0.5090413895520189,0.48235746209635555,0.0015,0.0015,1.5
795.0,0.5090141217104884,0.48214815969934144,0.0015,0.0015,1.5
798.75,0.5098797183887909,0.4830898967880627,0.0015,0.0015,1.5
802.5,0.5109521164278031,0.4806762903409867,0.0015,0.0015,1.5
806.25,0.515354178774904,0.4768110109229351,0.0015,0.0015,1.5
810.0,0.5170319956221315,0.47393732380357195,0.0015,0.0015,1.5
813.75,0.5159843847845027,0.47378921151196685,0.0015,0.0015,1.5
817.5,0.5160818282940801,0.4737825223604682,0.0015,0.0015,1.5
821.25,0.5223200049246488,0.47132593642303544,0.0015,0.0015,1.5
825.0,0.5241496554287048,0.4709546780620324,0.0015,0.0015,1.5
828.75,0.5265861876314204,0.4685312870781033,0.0015,0.0015,1.5
832.5,0.5278432796086202,0.464214359466343,0.0015,0.0015,1.5
836.25,0.525864444841465,0.46466464399137053,0.0015,0.0015,1.5
840.0,0.5320489635101422,0.46040872715097936,0.0015,0.0015,1.5
843.75,0.531540707530937,0.46100369716631073,0.0015,0.0015,1.5
847.5,0.536186881565094,0.4600513115702627,0.0015,0.0015,1.5
851.25,0.5361570844954229,0.4586865427971662,0.0015,0.0015,1.5
855.0,0.5368986963521271,0.4569577292253743,0.0015,0.0015,1.5
858.75,0.537439573833839,0.45538434777407216,0.0015,0.0015,1.5
862.5,0.5401172186567521,0.45332625064475524,0.0015,0.0015,1.5
866.25,0.543201314334125,0.4519307401404174,0.0015,0.0015,1.5
870.0,0.5441114619169569,0.44752862190867654,0.0015,0.0015,1.5
873.75,0.5479603572802325,0.4483727064889586,0.0015,0.0015,1.5
877.5,0.5477272724371548,0.44619733993330596,0.0015,0.0015,1.5
881.25,0.5499937958360435,0.4445420731090881,0.0015,0.0015,1.5
885.0,0.5501184636958512,0.4452586141448162,0.0015,0.0015,1.5
888.75,0.5517936573987096,0.4423667073782342,0.0015,0.0015,1.5
892.5,0.5536278042611856,0.43913519652176225,0.0015,0.0015,1.5
896.25,0.5547141793068445,0.43935053076545166,0.0015,0.0015,1.5
900.0,0.5594373696726963,0.4344685755257051,0.0015,0.0015,1.5
903.75,0.5618052985883765,0.4355288954308937,0.0015,0.0015,1.5
907.5,0.5602427112461054,0.43099516580040625,0.0015,0.0015,1.5
911.25,0.5622265562738797,0.4331661019224215,0.0015,0.0015,1.5
915.0,0.5663640225957979,0.432829203098213,0.0015,0.0015,1.5
918.75,0.566959639391735,0.42867313590036027,0.0015,0.0015,1.5
922.5,0.5688656874049982,0.4260069156264968,0.0015,0.0015,1.5
926.25,0.5676632549410066,0.42287565558288975,0.0015,0.0015,1.5
930.0,0.5738362630367873,0.4248799580144922,0.0015,0.0015,1.5
933.75,0.5731039560675408,0.42194091637212705,0.0015,0.0015,1.5
937.5,0.5746353971547912,0.42063490053985986,0.0015,0.0015,1.5
941.25,0.575259450827905,0.4200484257611239,0.0015,0.0015,1.5
945.0,0.5770820225119989,0.41647444815386275,0.0015,0.0015,1.5
948.75,0.5787029504443498,0.4169426570704621,0.0015,0.0015,1.5
952.5,0.5799820111717785,0.41757185115360285,0.0015,0.0015,1.5
956.25,0.582379545901765,0.4123110906778377,0.0015,0.0015,1.5
960.0,0.5847712534836699,0.41151039013081137,0.0015,0.0015,1.5
963.75,0.5841446966705843,0.41113093607503587,0.0015,0.0015,1.5
967.5,0.5862980652828598,0.40933640146779143,0.0015,0.0015,1.5
971.25,0.5892752043486316,0.40593501429475054,0.0015,0.0015,1.5
975.0,0.5903785515920333,0.40500374028824754,0.0015,0.0015,1.5
978.75,0.5959207767949357,0.40247410379476894,0.0015,0.0015,1.5
982.5,0.5911821496044792,0.4034392602915683,0.0015,0.0015,1.5
986.25,0.5951553160063607,0.3979084653454231,0.0015,0.0015,1.5
990.0,0.5951496103837001,0.39949065745176904,0.0015,0.0015,1.5
993.75,0.5968615658620133,0.3963348623633391,0.0015,0.0015,1.5
997.5,0.5983926503289204,0.39546461167275887,0.0015,0.0015,1.5
1001.25,0.5998273333617079,0.3927704191111515,0.0015,0.0015,1.5
1005.0,0.6025980434722104,0.39409159285148315,0.0015,0.0015,1.5
1008.75,0.6033661309302649,0.3943703815618987,0.0015,0.0015,1.5
1012.5,0.605831181189332,0.39301705809088855,0.0015,0.0015,1.5
1016.25,0.6101717803234168,0.38771486787823123,0.0015,0.0015,1.5
1020.0,0.6087136928633493,0.3897685272188223,0.0015,0.0015,1.5
1023.75,0.6085134043460815,0.3879589209757526,0.0015,0.0015,1.5
1027.5,0.6120359882612729,0.3862917266180495,0.0015,0.0015,1.5
1031.25,0.6071551169245291,0.38555678082729483,0.0015,0.0015,1.5
1035.0,0.6149573335812364,0.38391723035333564,0.0015,0.0015,1.5
1038.75,0.6170816929500543,0.3771688145783518,0.0015,0.0015,1.5
1042.5,0.6157716644697119,0.3818611762542364,0.0015,0.0015,1.5
1046.25,0.6176347353795721,0.37957853199617836,0.0015,0.0015,1.5
1050.0,0.6181535637987121,0.3764831860437371,0.0015,0.0015,1.5
1053.75,0.6182622766436578,0.3740259232216253,0.0015,0.0015,1.5
1057.5,0.6221413314704186,0.37408995843181847,0.0015,0.0015,1.5
1061.25,0.6231934486001964,0.37435522448613767,0.0015,0.0015,1.5
1065.0,0.6231608613251353,0.37341868765447034,0.0015,0.0015,1.5
1068.75,0.6270801723629945,0.3702569957177955,0.0015,0.0015,1.5
1072.5,0.6249639547650762,0.37018195212611404,0.0015,0.0015,1.5
1076.25,0.6293521004984898,0.3681828425395448,0.0015,0.0015,1.5
1080.0,0.6302999538280311,0.3682781628892799,0.0015,0.0015,1.5
1083.75,0.6312999140236829,0.3641799936499455,0.0015,0.0015,1.5
1087.5,0.6324959916222149,0.36609711308676657,0.0015,0.0015,1.5
1091.25,0.6336238938407428,0.36554183905780413,0.0015,0.0015,1.5
1095.0,0.6324069086174162,0.36479148053276905,0.0015,0.0015,1.5
1098.75,0.6322647980079803,0.36295007943241037,0.0015,0.0015,1.5
1102.5,0.6368846692282268,0.36156216281072495,0.0015,0.0015,1.5
1106.25,0.6404777338895131,0.35840613160692864,0.0015,0.0015,1.5
1110.0,0.6397454886147886,0.35657874415466234,0.0015,0.0015,1.5
1113.75,0.641364894409933,0.3563397135766637,0.0015,0.0015,1.5
1117.5,0.6425721587171344,0.3549784649266871,0.0015,0.0015,1.5
1121.25,0.6437938459370562,0.3536410515028786,0.0015,0.0015,1.5
1125.0,0.6449543468976792,0.35232956371702484,0.0015,0.0015,1.5
1128.75,0.6466240117169767,0.35044246342339025,0.0015,0.0015,1.5
1132.5,0.6438523365811648,0.3510726705189112,0.0015,0.0015,1.5
1136.25,0.6482588168966746,0.34839254322761865,0.0015,0.0015,1.5
1140.0,0.6470652989684181,0.34943625988411064,0.0015,0.0015,1.5
1143.75,0.6520635861296415,0.34613145276247953,0.0015,0.0015,1.5
1147.5,0.6493203067589485,0.34371461554064553,0.0015,0.0015,1.5
1151.25,0.6517066997753784,0.3447864788497272,0.0015,0.0015,1.5
1155.0,0.6550064602564576,0.34387932483520456,0.0015,0.0015,1.5
1158.75,0.6546969386472653,0.33947120476724624,0.0015,0.0015,1.5
1162.5,0.6570841952284378,0.3397096551642247,0.0015,0.0015,1.5
1166.25,0.655942969912537,0.3377681255616035,0.0015,0.0015,1.5
1170.0,0.6625518972425355,0.3388311432441743,0.0015,0.0015,1.5
1173.75,0.6596714565228893,0.33817526102164897,0.0015,0.0015,1.5
1177.5,0.6591225585613599,0.33434525081726535,0.0015,0.0015,1.5
1181.25,0.6635331336541554,0.3329857291163066,0.0015,0.0015,1.5
1185.0,0.662314349669837,0.332184635064439,0.0015,0.0015,1.5
1188.75,0.6645212610295717,0.3324467590044975,0.0015,0.0015,1.5
1192.5,0.6653777358207406,0.3315989490148472,0.0015,0.0015,1.5
1196.25,0.6670838625474677,0.330443989381557,0.0015,0.0015,1.5
1200.0,0.6677454077843026,0.32850924018203176,0.0015,0.0015,1.5
